student_id,name,department,semester,attendance_pct,internal_marks,cp_ncp,previous_backlogs,risk_category
STU0001,Aryan Maharaj,CSE,1,75,41,NCP,0,Moderate Risk
STU0002,Udant Dewan,CSE,5,82,40,NCP,0,Moderate Risk
STU0003,Gagan Sami,CSE,1,74,45,NCP,0,Moderate Risk
STU0004,Ayushman Chander,AI&DS,2,81,49,NCP,1,Moderate Risk
STU0005,Viraj Tiwari,CSE,6,71,39,NCP,1,High Risk
STU0006,Rushil Saini,CSE,1,72,48,NCP,0,Moderate Risk
STU0007,Saumya Mall,AI&DS,2,71,42,NCP,1,Moderate Risk
STU0008,Nathaniel Sami,EEE,7,76,46,NCP,0,Moderate Risk
STU0009,Arunima Dugal,CSE,1,74,41,NCP,0,Moderate Risk
STU0010,Gayathri Chaudry,CSE,7,82,44,NCP,0,Moderate Risk
STU0011,Lajita Chatterjee,EEE,2,75,45,NCP,0,Moderate Risk
STU0012,Hemangini Lalla,CSE,5,71,43,NCP,1,Moderate Risk
STU0013,Tripti Yadav,AI&DS,2,76,49,NCP,1,Moderate Risk
STU0014,Kritika Brar,MECH,2,73,47,NCP,0,Moderate Risk
STU0015,Janaki Handa,EEE,2,77,50,NCP,0,Moderate Risk
STU0016,Chakradev Kari,ECE,2,73,43,NCP,1,Moderate Risk
STU0017,Fariq Kaul,MECH,3,85,43,NCP,0,Moderate Risk
STU0018,Lajita Mall,CSE,7,70,34,NCP,0,High Risk
STU0019,Janya Gaba,AI&DS,1,77,53,NCP,0,Moderate Risk
STU0020,Isha Kadakia,AI&DS,2,79,53,NCP,0,Moderate Risk
STU0021,Ekbal Garg,CSE,5,77,40,NCP,0,Moderate Risk
STU0022,Nihal Shere,CSE,2,73,36,NCP,0,High Risk
STU0023,Anamika Kanda,EEE,8,79,43,NCP,1,Moderate Risk
STU0024,Daksh Karnik,AI&DS,5,70,43,NCP,0,Moderate Risk
STU0025,Diya Rattan,AI&DS,8,78,44,NCP,1,Moderate Risk
STU0026,Dominic Kakar,EEE,2,73,43,NCP,1,Moderate Risk
STU0027,Simon Tata,AI&DS,6,70,39,NCP,0,High Risk
STU0028,Tara Dhar,EEE,4,79,52,NCP,0,Moderate Risk
STU0029,Liam Koshy,ECE,6,73,42,NCP,1,Moderate Risk
STU0030,Priya Rastogi,ECE,2,75,44,NCP,2,Moderate Risk
STU0031,Theodore Devi,CSE,2,85,55,NCP,0,Moderate Risk
STU0032,Gavin Batta,ECE,2,77,45,NCP,0,Moderate Risk
STU0033,Michael Dutta,AI&DS,4,74,44,NCP,0,Moderate Risk
STU0034,Devansh Rajan,CSE,1,77,45,NCP,0,Moderate Risk
STU0035,Upadhriti Wadhwa,MECH,7,68,38,NCP,0,High Risk
STU0036,Advay Contractor,CSE,3,76,50,NCP,0,Moderate Risk
STU0037,Harini Choudhury,ECE,4,72,37,NCP,0,High Risk
STU0038,Radhika Dugar,CSE,3,84,50,NCP,1,Moderate Risk
STU0039,Aarush Lall,CSE,8,82,41,NCP,0,Moderate Risk
STU0040,Yashica Cherian,ECE,7,81,39,NCP,1,High Risk
STU0041,Yashica Issac,MECH,2,81,49,NCP,0,Moderate Risk
STU0042,Kashvi Edwin,MECH,1,74,48,NCP,0,Moderate Risk
