student_id,name,department,semester,attendance_pct,internal_marks,cp_ncp,previous_backlogs,risk_category
STU0001,Aryan Maharaj,CSE,1,60,44,CP,0,Moderate Risk
STU0002,Udant Dewan,AI&DS,1,67,7,CP,0,High Risk
STU0003,Gagan Sami,ECE,4,39,38,CP,0,High Risk
STU0004,Ayushman Chander,MECH,5,82,6,CP,0,High Risk
STU0005,Viraj Tiwari,EEE,2,56,64,CP,0,High Risk
STU0006,Rushil Saini,CSE,3,63,42,CP,0,Moderate Risk
STU0007,Saumya Mall,AI&DS,1,89,10,CP,0,High Risk
STU0008,Nathaniel Sami,AI&DS,7,64,23,CP,0,High Risk
STU0009,Arunima Dugal,ECE,6,95,84,CP,0,Low Risk
STU0010,Gayathri Chaudry,MECH,5,65,47,CP,0,Moderate Risk
STU0011,Lajita Chatterjee,CSE,5,53,66,CP,0,High Risk
STU0012,Hemangini Lalla,EEE,8,76,71,CP,1,Low Risk
STU0013,Tripti Yadav,CSE,2,40,49,CP,0,High Risk
STU0014,Kritika Brar,AI&DS,7,62,73,CP,2,High Risk
STU0015,Janaki Handa,MECH,1,51,78,CP,0,High Risk
STU0016,Chakradev Kari,EEE,6,67,72,CP,0,Moderate Risk
STU0017,Fariq Kaul,ECE,4,47,4,CP,0,High Risk
STU0018,Lajita Mall,ECE,6,67,13,CP,0,High Risk
STU0019,Janya Gaba,MECH,4,93,81,CP,0,Low Risk
STU0020,Isha Kadakia,CSE,5,72,51,CP,0,Moderate Risk
STU0021,Ekbal Garg,MECH,2,33,69,CP,4,High Risk
STU0022,Nihal Shere,ECE,4,48,77,CP,0,High Risk
STU0023,Anamika Kanda,ECE,3,53,97,CP,2,High Risk
STU0024,Daksh Karnik,AI&DS,3,38,90,CP,0,High Risk
STU0025,Diya Rattan,ECE,7,90,36,CP,1,High Risk
STU0026,Dominic Kakar,AI&DS,6,50,78,CP,0,High Risk
STU0027,Simon Tata,AI&DS,7,67,58,CP,1,Moderate Risk
STU0028,Tara Dhar,ECE,6,66,72,CP,0,Moderate Risk
STU0029,Liam Koshy,AI&DS,3,58,1,CP,0,High Risk
STU0030,Priya Rastogi,ECE,4,34,62,CP,0,High Risk
STU0031,Theodore Devi,CSE,7,45,56,CP,0,High Risk
STU0032,Gavin Batta,ECE,6,86,68,CP,1,Moderate Risk
STU0033,Michael Dutta,MECH,2,48,54,CP,0,High Risk
